KEY,Venue,Topic Area/s 1,Topic Area/s 2,Type,Title,dblp URL,Added
icml,ICML,artificial intelligence,"machine learning, data mining,theory",conference,International Conference on Machine Learning,https://dblp.uni-trier.de/db/conf/icml/,2019
icmr,ICMR,multimedia,information retrieval,conference,International Conference on Multimedia Retrieval,https://dblp.uni-trier.de/db/conf/mir/,2019
icnp,ICNP,systems,networks,conference,International Conference on Network Protocols,https://dblp.uni-trier.de/db/conf/icnp/,2019
icpp,ICPP,systems,parallel computing,conference,International Conference on Parallel Processing,https://dblp.uni-trier.de/db/conf/icpp/,2019
icpr,ICPR,artificial intelligence,vision,conference,International Conference on Pattern Recognition,https://dblp.uni-trier.de/db/conf/icpr/,2019
icra,ICRA,robotics,,conference,International Conference on Robotics and Automation,https://dblp.uni-trier.de/db/conf/icra/,2019
ics,ICS,systems,high performance computing,conference,ACM International Conference on Supercomputing,https://dblp.uni-trier.de/db/conf/ics/,2019
icse,ICSE,software engineering,,conference,International Conference on Software Engineering,https://dblp.uni-trier.de/db/conf/icse/,2019
icsm,ICSM,software engineering,,conference,IEEE International Conference on Software Maintenance,https://dblp.uni-trier.de/db/conf/icsm/,2019
icst,ICST,software engineering,,conference,International Conference on Software Testing Verification and Validation,https://dblp.uni-trier.de/db/conf/icst/,2019
icws,ICWS,,web technologies,conference,IEEE International Conference on Web Services,https://dblp.uni-trier.de/db/conf/icws/,2019
icwsm,ICWSM,information retrieval,,conference,International Conference on Weblogs and Social Media,https://dblp.uni-trier.de/db/conf/icwsm/,2019
ieeemm,IEEEMM,multimedia,,journal,IEEE Multimedia,https://dblp.uni-trier.de/db/journals/ieeemm/,2019
iiswc,IISWC,systems,performance analysis,conference,International Symposium on Workload Characterization,https://dblp.uni-trier.de/db/conf/iiswc/,2019
ijcai,IJCAI,artificial intelligence,,conference,International Joint Conference on Artificial Intelligence,https://dblp.uni-trier.de/db/conf/ijcai/,2019
ijcar,IJCAR,theory,,conference,International Joint Conference on Automated Reasoning,https://dblp.org/db/conf/cade/,2019
imc,IMC,systems,performance analysis,conference,Internet Measurement Conference,https://dblp.uni-trier.de/db/conf/imc/,2019
infocom,INFOCOM,systems,networks,conference,IEEE Conference on Computer Communications,https://dblp.uni-trier.de/db/conf/infocom/,2019
interact,INTERACT,human computer interaction,,conference,IFIP Conference on Human-Computer Interaction,https://dblp.uni-trier.de/db/conf/interact/,2019
internet,INTERNET,other,,journal,IEEE Internet Computing,https://dblp.uni-trier.de/db/journals/internet/,2019
interspeech,INTERSPEECH,other,,conference,Annual Conference of the International Speech Communication Association,https://dblp.uni-trier.de/db/conf/interspeech/,2019
iolts,IOLTS,design automation,,conference,IEEE International On-Line Testing Symposium,https://dblp.uni-trier.de/db/conf/iolts/,2019
ipccc,IPCCC,systems,"networks,parallel computing,performance analysis",conference,IEEE International Performance Computing and Communications Conference,https://dblp.uni-trier.de/db/conf/ipccc/,2019
ipdps,IPDPS,systems,"distributed systems,parallel computing",conference,IEEE International Parallel and Distributed Processing Symposium,https://dblp.org/db/conf/ipps/,2019
ipmi,IPMI,vision,,conference,Information Processing in Medical Imaging,https://dblp.uni-trier.de/db/conf/ipmi/,2019
ipsn,IPSN,systems,networks,conference,Information Processing in Sensor Networks,https://dblp.uni-trier.de/db/conf/ipsn/,2019
iros,IROS,robotics,,conference,International Conference on Intelligent Robots and Systems,https://dblp.uni-trier.de/db/conf/iros/,2019
isca,ISCA,systems,architecture,conference,ACM International Symposium on Computer Architecture,https://dblp.uni-trier.de/db/conf/isca/,2019
islped,ISLPED,circuits,,conference,International Symposium on Low-Power Electronics and Design,https://dblp.uni-trier.de/db/conf/islped/,2019
ismar,ISMAR,artificial intelligence,,conference,IEEE/ACM International Symposium on Mixed and Augmented Reality,https://dblp.uni-trier.de/db/conf/ismar/,2019
ismb,ISMB,bioinformatics,,conference,Intelligent Systems for Molecular Biology,https://dblp.uni-trier.de/db/conf/ismb/,2019
ismm,ISMM,systems,programming languages,conference,International Symposium on Memory Management,https://dblp.uni-trier.de/db/conf/ismm/,2019
ismvl,ISMVL,theory,verification,conference,International Symposium on Multiple-Valued Logic,https://dblp.uni-trier.de/db/conf/ismvl/,2019
isorc,ISORC,systems,distributed systems,conference,IEEE International Symposium on Object-Oriented Real-time Distributed Computing,https://dblp.uni-trier.de/db/conf/isorc/,2019
ispa,ISPA,systems,"distributed systems,parallel computing",conference,IEEE International Symposium on Parallel and Distributed Processing with Applications,https://dblp.uni-trier.de/db/conf/ispa/,2019
ispass,ISPASS,systems,performance analysis,conference,IEEE International Symposium on Performance Analysis of Systems and Software,https://dblp.uni-trier.de/db/conf/ispass/,2019
issac,ISSAC,theory,,conference,International Symposium on Symbolic and Algebraic Computation,https://dblp.uni-trier.de/db/conf/issac/,2019
isscc,ISSCC,circuits,architecture,conference,International Solid State Circuits Conference,https://dblp.uni-trier.de/db/conf/isscc/,2019
issre,ISSRE,systems,software engineering,conference,International Symposium on Software Reliability Engineering,https://dblp.uni-trier.de/db/conf/issre/,2019
issta,ISSTA,systems,software engineering,conference,International Symposium on Software Testing and Analysis,https://dblp.uni-trier.de/db/conf/issta/,2019
iswc,ISWC,artificial intelligence,"information retrieval, web technologies",conference,International Semantic Web Conference,https://dblp.uni-trier.de/db/conf/iswc/,2019
itc,ITC,design automation,"verification, architecture, circuits ",conference,IEEE International Test Conference,https://dblp.uni-trier.de/db/conf/itc/,2019
iticse,ITiCSE,cs education,,conference,Integrating Technology into Computer Science Education,https://dblp.uni-trier.de/db/conf/iticse/,2019
itng,ITNG,other,,conference,International Conference on Information Technology: New Generations,https://dblp.uni-trier.de/db/conf/itng/,2019
itpro,ITPRO,other,,journal,IT Professional,https://dblp.uni-trier.de/db/journals/itpro/,2019
iui,IUI,human computer interaction,,conference,International Conference on Intelligent User Interfaces,https://dblp.uni-trier.de/db/conf/iui/,2019
jacm,JACM,other,,journal,Journal of the ACM,https://dblp.uni-trier.de/db/journals/jacm/,2019
jair,JAIR,artificial intelligence,,journal,Journal of Artificial Intelligence Research,https://dblp.uni-trier.de/db/journals/jair/,2019
jcdl,JCDL/DL,other,,conference,International Conference on Digital Libraries,https://dblp.uni-trier.de/db/conf/jcdl/,2019
jdiq,JDIQ,data mining,,journal,Journal of Data and Information Quality,https://dblp.uni-trier.de/db/journals/jdiq/,2019
jea,JEA,algorithms,theory,journal,Journal of Experimental Algorithmics,https://dblp.uni-trier.de/db/journals/jea/,2019
jeric,TOCE,cs education,,journal,ACM Transactions on Computing Education,https://dblp.uni-trier.de/db/journals/jeric/,2019
jetc,JETC,systems,,journal,ACM Journal on Emerging Technologies in Computing Systems,https://dblp.uni-trier.de/db/journals/jetc/,2019
jmicro,IEEE MICRO,architecture,systems,journal,IEEE Micro,https://dblp.uni-trier.de/db/journals/micro/,2019
jmlr,JMLR,machine learning,artificial intelligence,journal,Journal of Machine Learning Research,https://dblp.uni-trier.de/db/journals/jmlr/,2019
jocch,JOCCH,other,,journal,Journal on Computing and Cultural Heritage,https://dblp.uni-trier.de/db/journals/jocch/,2019
kdd,KDD,artificial intelligence,data mining,conference,Conference on Knowledge Discovery and Data Mining,https://dblp.uni-trier.de/db/conf/kdd/,2019
kr,KR,artificial intelligence,,conference,International Conference on Principles of Knowledge Representation and Reasoning,https://dblp.uni-trier.de/db/conf/kr/,2019
lats,L@S,cs education,,conference,Learning @ Scale,https://dblp.uni-trier.de/db/conf/lats/,2019
lcn,LCN,systems,networks,conference,IEEE Conference on Local Computer Networks,https://dblp.uni-trier.de/db/conf/lcn/,2019
lctes,LCTES,systems,"embedded & real time, programming languages",conference,"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",https://dblp.org/db/conf/lctrts/,2019
lics,LICS,theory,verification,conference,IEEE Symposium on Logic in Computer Science,https://dblp.uni-trier.de/db/conf/lics/,2019
mascots,MASCOTS,systems,"performance analysis, networks",conference,Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,https://dblp.uni-trier.de/db/conf/mascots/,2019
mass,MASS,systems,mobile,conference,IEEE Internatonal Conference on Mobile Adhoc and Sensor Systems,https://dblp.uni-trier.de/db/conf/mass/,2019
mdm,MDM,databases,mobile,conference,IEEE International Conference on Mobile Data Management,https://dblp.uni-trier.de/db/conf/mdm/,2019
miccai,MICCAI,vision,,conference,Medical Image Computing and Computer Assisted Interventions,https://dblp.uni-trier.de/db/conf/miccai/,2019
micro,MICRO,systems,architecture,conference,International Symposium on Microarchitecture,https://dblp.uni-trier.de/db/conf/micro/,2019
ml,ML,machine learning,artificial intelligence,journal,Machine Learning,https://dblp.uni-trier.de/db/journals/ml/,2019
mm,MM,human computer interaction,multimedia,conference,ACM Multimedia Conference,https://dblp.uni-trier.de/db/conf/mm/,2019
mmas,MMAS,performance analysis,,journal,Multiscale Modeling & Simulation,https://dblp.uni-trier.de/db/journals/mmas/,2019
mobicom,MobiCom,systems,mobile,conference,ACM International Conference on Mobile Computing and Networking,https://dblp.uni-trier.de/db/conf/mobicom/,2019
mobihoc,MobiHoc,systems,"mobile,networks",conference,ACM Symposium of Mobile and Ad Hoc Computing,https://dblp.uni-trier.de/db/conf/mobihoc/,2019
mobisec,Mobisec,systems,"mobile,security",conference,International ICST Conference on Security and Privacy in Mobile Information and Communication Systems,https://dblp.uni-trier.de/db/conf/mobisec/,2019
mobisys,MobiSys,systems,mobile,conference,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",https://dblp.uni-trier.de/db/conf/mobisys/,2019
naacl,NAACL/HLT,artificial intelligence,"natural language processing,human computer interaction",conference,Human Language Technologies: Conference of the North American Chapter of the Association for Computational Linguistics,https://dblp.uni-trier.de/db/conf/naacl/,2019
ndss,NDSS,systems,"networks,security,distributed systems",conference,Usenix Network and Distributed System Security Symposium,https://dblp.uni-trier.de/db/conf/ndss/,2019
nfm,NFM,verification,,conference,NASA Formal Methods,https://dblp.uni-trier.de/db/conf/nfm/,2019
nips,NIPS,artificial intelligence,"machine learning, data mining",conference,Advances in Neural Information Processing Systems,https://dblp.uni-trier.de/db/conf/nips/,2019
